曜日,月,月,月,火,火,火,水,水,水,木,木,木,金,金,金,土,土,土,日,日,日
時間帯,朝,昼,夜,朝,昼,夜,朝,昼,夜,朝,昼,夜,朝,昼,夜,朝,昼,夜,朝,昼,夜
必要人数,2,3,3,2,3,3,2,3,3,1,2,2,2,3,3,2,4,4,2,4,4
CA佐藤哲生,○,,,○,,,○,,,○,,,○,,,○,,,○,,
CA落合哲也,○,○,○,,,,○,○,○,,,,○,○,○,,,,,,
CA山本有紀,,,,,,,,,,,,,,,,○,○,○,○,○,○
Pilot鈴木哲也,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
NS鈴木綾子,,,○,,,○,,,○,,,○,,,○,,,○,,,○
Pilot風間徹,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,
CA田代美里,,,,,,,,,,,,,○,○,○,○,○,○,○,○,○
CA酒美帆,,○,,,○,,,○,,,○,,,○,,,○,,,○,
Pilot吉田周一,,,○,,,○,,,○,,,○,,,○,,,○,,,○
Pilot小林遼,,,,,,,,,,○,○,○,○,○,○,○,○,○,○,○,○
